trending_date,title,channel_title,category_id,tags,views,likes,dislikes,comment_count
17.14.11,Review On Bigg Boss 11: OMG! Hina Khan Vs Salman Khan part 2,Saas Bahu Aur Betiyaan,24,saas bahu beti|"saas bahu aur beti"|"saas bahu aur betiyaan"|"entertainment show"|"TV celebs"|"tv shows"|"hindi shows"|"entertainment videos"|"celeb interviews"|"tv actors"|"tv actress"|"popular tv actors",334780,1307,230,744
17.14.11,Akkineni Nagarjuna Response On Annapurna Studios Fire Mishap |Manam Movie House Setting Fired| iNews,I News,25,I news|"i news telugu channel"|"i news youtube"|"i news channel"|"i news online"|"i news telugu online"|"online telugu news"|"telangana news"|"ap news"|"breaking news"|"latest telugu news"|"ICM KCR Slams Amit Shah"|"Amit Shah AP Tour"|"TDP Mahanadu"|"Sonia Gandhi"|"Presidential Elections"|"Harish Rao Slams Amit Shah"|"Amit Shah Praises PM Modi",23932,0,0,7
17.14.11,സൗബിനെ വെറു�? 30 സെക്കൻഡ് സമയം കൊണ്ട് വളച്ചെടുത്�?പേർള�?!!,Asianet,24,സൗബിനെ വെറു�?30 സെക്കൻഡ് സമയം കൊണ്ട് വളച്ചെടുത്�?പേർള�?!!|"Asianet comedy awards 2017"|"comedy awards 2017"|"jagadeesh"|"rimi tomy"|"pisharadi"|"dharmajan"|"comedy show"|"comedy stars"|"best comedy"|"best of comedy"|"malayalam cinema"|"best comedy 2017"|"film awards"|"asianet comedy awards"|"comedy awards"|"jayaram"|"ACA"|"parava"|"parava movie"|"soubin shahir"|"parava director"|"soubin"|"soubin shahir parava"|"parava scenes"|"parava full movie"|"soubin shahir movie"|"pearle maaney",54861,247,20,10
17.14.11,TVF Inmates | E05 - Smells Like Nostalgia,TheViralFeverVideos,24,the viral fever|"tvf"|"humour"|"qtiyapa"|"permanent"|"roommates"|"barely"|"speaking"|"drama"|"originals"|"comedy"|"sketch"|"web series"|"tv show"|"netflix"|"amazon prime",1174353,20095,2517,2250
17.14.11,Does GOD EXIST OR NOT? PART 2 | Unknown Facts About GOD Revealed in Telugu | Vikram Aditya | EP#92,Vikram Aditya,24,Does GOD EXIST OR NOT? PART 2|"Unknown Facts About GOD Revealed in Telugu"|"Vikram Aditya"|"EP#92"|"Does God Exist or Not"|"Unknown Facts about God"|"Shocking Facts About God"|"Unknown Facts About God in Telugu"|"Shocking Facts About God in Telugu"|"Latest News"|"Latest Updates"|"Vikram Aditya New videos"|"Vikram Aditya Videos"|"Vikram Aditya Latest Videos",127517,3676,381,2169
17.14.11,"Genes Promo | 18th November 2017 | Indraneel, Meghana | Genes Latest Promo",mallemalatv,24,Genes|"Genes Show"|"Genes Videos"|"Genes Telugu Show"|"Genes Entertainment Show"|"Genes Latest Video"|"Genes New Video"|"Genes Latest Videos"|"Genes Telugu Videos"|"Suma Entertainement Show"|"Suma Comedy With Stars"|"Genes Tollywood Game Show"|"Genes Latest Promo"|"Telugu Latest Shows"|"Latest Promos"|"Telugu Promos"|"Suma Fun at Genes"|"Suma Punches"|"Suma Counter"|"Suma Funny Punches"|"Yadammaraju",255707,2267,121,338
17.14.11,"Indian Cricketers With HOT Girlfriends & Wives - Virat Anushka,Dhoni Sakshi,Zaheer Sagarika",BiscootTV,24,bollywood news|"bollywood news in hindi"|"bollywood box office"|"bollywood actress"|"latest bollywood news"|"bollywood gossip"|"bollywood news and gossip",692359,2523,618,194
17.14.11,13 November 2017-The Hindu Editorial News Paper Analysis- [UPSC/SSC/IBPS] Current affairs,Study IQ education,27,november 2017 current affairs|"november"|"november 2017"|"current"|"affairs"|"current affairs"|"study iq"|"studyiq"|"study"|"iq"|"best"|"gk"|"general knowledge"|"general"|"knowledge"|"static"|"static gk"|"upsc"|"ssc"|"cgl"|"chsl"|"lic"|"ldc"|"mts"|"ibps"|"po"|"clerk"|"sbi"|"up"|"pcs"|"psc"|"mp"|"andhra"|"telangana"|"2017"|"2018"|"2019"|"2020"|"clat"|"bba"|"exam"|"exams"|"top"|"read"|"for"|"to"|"on"|"at"|"from"|"hindi"|"in hindi"|"english"|"current affairs 2017"|"issue"|"debate"|"discussion"|"uppsc"|"uppcs"|"mppsc"|"cgpsc"|"tpsc"|"tspsc"|"appsc"|"mpsc"|"ras"|"rpsc"|"reet"|"jssc"|"ssc cgl"|"ssc ldc"|"steno"|"the",47352,2240,31,543
17.14.11,இவ்வளவ�?சொத்து எப்படி வந்துச்ச�?? NAKKHEERAN GOPAL Exclusive Interview about Sasikala & Family,NewsGlitz - Next Generation Tamil News Channel,25,tamil news|"tamilnadu politics comedy"|"tamil political speech"|"tamil political fight"|"latest tamil news"|"tamil news today"|"tamil news online"|"newsglitz"|"nakkeeran gopal interview"|"nakkeeran gopal latest interview"|"nakkeeran gopal speech"|"nakkeeran gopal speech about jayalalitha"|"nakkeeran on raid"|"nakkheeran about sasikala"|"sasikala raid"|"sasikala latest",114466,1580,163,255
17.14.11,7 DAILY HABITS OF SELF MADE MILLIONAIRES (HINDI),SeeKen,27,rich|"millionaire"|"habits"|"hindi"|"urdu"|"7 habits"|"of"|"self made"|"millionaires"|"billionaires"|"behaviour"|"secrets"|"7 habits of highly effective people"|"brian"|"tracy"|"book"|"summary"|"21 secrets"|"of self made"|"effective people"|"responsibility"|"big dream"|"work hard"|"relations"|"speed",103239,7191,91,746
